topic_name,main_category,pair_count,oriented_row_count,review_status,last_reviewed,source_notes
individual_vs_collective_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
interim_government_2024_2026,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
intersectionality_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
jail_killings_1975,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
jamaat_opposition_2026,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
january_2024_election,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,18,36,sources_needed,,
jonayed_saki,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
july_charter_2025,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
july_uprising_2024,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,27,54,sources_needed,,
khaleda_zia,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,18,36,sources_needed,,
language_movement_1952,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,18,36,sources_needed,,
left_politics_bangladesh,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,27,54,sources_needed,,
lgbtq_rights_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
liberation_war_1971,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
local_government_articles_59_60,BANGLADESH_CONSTITUTION,27,54,sources_needed,,
mahmudur_rahman_manna,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
mamunul_haque,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
mass_uprising_1990,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
maulana_bhashani,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
mia_ghulam_parwar,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
military_role_in_politics_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
minority_inclusion_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,27,54,sources_needed,,
mirza_fakhrul_islam_alamgir,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
muhammad_yunus,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
myanmar_relations,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
nahid_islam,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
nasiruddin_patwary,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
ncp_emergence_2025_2026,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
november_7_1975,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
nurul_haque_nur,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
obaidul_quader,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
oli_ahmad,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
palestine_policy_bd,BANGLADESH_PUBLIC_POLICY,27,54,sources_needed,,
parliamentary_restoration_1991,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
police_reform_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
poverty_policy_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
public_health_bd,BANGLADESH_SCIENCE_AND_PUBLIC_HEALTH,27,54,sources_needed,,
quota_reform_movement_2024,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
religious_freedom_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,27,54,sources_needed,,
road_safety_movement_2018,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
rohingya_refugees,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,27,54,sources_needed,,
ruhul_kabir_rizvi,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
sajeeb_wazed_joy,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
samantha_sharmin,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
sarjis_alam,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
secularism_state_religion_and_religious_freedom,BANGLADESH_CONSTITUTION,27,54,sources_needed,,
shafiqur_rahman,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
shahbag_movement_2013,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
sheikh_hasina,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,27,54,sources_needed,,
sheikh_hasina_v_khaleda_zia,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,27,54,sources_needed,,
social_safety_net_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
syed_abdullah_mohammad_taher,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
syed_muhammad_rezaul_karim,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
systemic_discrimination_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,27,54,sources_needed,,
tajuddin_ahmad,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
tarique_rahman,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
vaccine_mandates_bd,BANGLADESH_SCIENCE_AND_PUBLIC_HEALTH,27,54,sources_needed,,
ziaur_rahman,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
